Date : 2022-06-29 23:46:36
Directory : c:\xampp\htdocs\shopbanhanglaravel
Total : 625 files,  94132 codes, 6640 comments, 10523 blanks, all 111295 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\copyformatting\cursors\cursor.svg                  | XML        |         14 |          0 |          1 |         15 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\copyformatting\styles\copyformatting.css           | CSS        |         30 |         10 |          6 |         46 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\dialog\dialogDefinition.js                         | JavaScript |          0 |          4 |          1 |          5 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\dialog\styles\dialog.css                           | CSS        |         16 |          0 |          3 |         19 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\div\dialogs\div.js                                 | JavaScript |         10 |          0 |          0 |         10 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\easyimage\dialogs\easyimagealt.js                  | JavaScript |          2 |          4 |          0 |          6 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\easyimage\styles\easyimage.css                     | CSS        |         77 |         23 |         19 |        119 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\exportpdf\CHANGELOG.md                             | Markdown   |         39 |          0 |         34 |         73 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\exportpdf\LICENSE.md                               | Markdown   |         12 |          0 |          7 |         19 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\exportpdf\README.md                                | Markdown   |         63 |          0 |         40 |        103 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\exportpdf\plugindefinition.js                      | JavaScript |          0 |          0 |          1 |          1 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\exportpdf\tests\_helpers\tools.js                  | JavaScript |          1 |          4 |          0 |          5 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\exportpdf\tests\authentication.js                  | JavaScript |          6 |          0 |          0 |          6 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\exportpdf\tests\exportpdf.js                       | JavaScript |         10 |          0 |          0 |         10 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\exportpdf\tests\manual\configfilename.html         | HTML       |         21 |          0 |          7 |         28 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\exportpdf\tests\manual\configfilename.md           | Markdown   |         26 |          0 |         21 |         47 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\exportpdf\tests\manual\emptyeditor.html            | HTML       |         13 |          0 |          6 |         19 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\exportpdf\tests\manual\emptyeditor.md              | Markdown   |         23 |          0 |         12 |         35 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\exportpdf\tests\manual\integration.html            | HTML       |        115 |          0 |         34 |        149 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\exportpdf\tests\manual\integration.md              | Markdown   |          8 |          0 |          5 |         13 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\exportpdf\tests\manual\integrations\easyimage.html | HTML       |         21 |          0 |          7 |         28 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\exportpdf\tests\manual\integrations\easyimage.md   | Markdown   |         16 |          0 |         11 |         27 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\exportpdf\tests\manual\notifications.html          | HTML       |         15 |          0 |          5 |         20 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\exportpdf\tests\manual\notifications.md            | Markdown   |         26 |          0 |         11 |         37 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\exportpdf\tests\manual\notificationsasync.html     | HTML       |         35 |          0 |         11 |         46 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\exportpdf\tests\manual\notificationsasync.md       | Markdown   |         17 |          0 |         11 |         28 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\exportpdf\tests\manual\paperformat.html            | HTML       |         25 |          0 |          5 |         30 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\exportpdf\tests\manual\paperformat.md              | Markdown   |         13 |          0 |          6 |         19 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\exportpdf\tests\manual\readonly.html               | HTML       |         13 |          0 |          6 |         19 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\exportpdf\tests\manual\readonly.md                 | Markdown   |         17 |          0 |         12 |         29 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\exportpdf\tests\manual\stylesheets.html            | HTML       |         30 |          0 |          7 |         37 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\exportpdf\tests\manual\stylesheets.md              | Markdown   |         12 |          0 |          8 |         20 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\exportpdf\tests\manual\tokenfetching.html          | HTML       |         17 |          0 |          7 |         24 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\exportpdf\tests\manual\tokenfetching.md            | Markdown   |         12 |          0 |          8 |         20 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\exportpdf\tests\manual\tokentwoeditorscorrect.html | HTML       |         30 |          0 |          9 |         39 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\exportpdf\tests\manual\tokentwoeditorscorrect.md   | Markdown   |          9 |          0 |          6 |         15 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\exportpdf\tests\manual\tokentwoeditorswrong.html   | HTML       |         30 |          0 |          9 |         39 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\exportpdf\tests\manual\tokentwoeditorswrong.md     | Markdown   |          9 |          0 |          6 |         15 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\exportpdf\tests\manual\tokenwithouturl.html        | HTML       |         14 |          0 |          6 |         20 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\exportpdf\tests\manual\tokenwithouturl.md          | Markdown   |         18 |          0 |         14 |         32 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\exportpdf\tests\manual\wrongendpoint.html          | HTML       |         17 |          0 |          5 |         22 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\exportpdf\tests\manual\wrongendpoint.md            | Markdown   |         23 |          0 |         12 |         35 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\exportpdf\tests\notification.js                    | JavaScript |          4 |          0 |          0 |          4 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\exportpdf\tests\resourcespaths.js                  | JavaScript |          9 |          0 |          0 |          9 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\exportpdf\tests\statistics.js                      | JavaScript |          3 |          0 |          0 |          3 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\exportpdf\tests\stylesheets.js                     | JavaScript |         18 |          0 |          0 |         18 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\find\dialogs\find.js                               | JavaScript |         21 |          4 |          0 |         25 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\forms\dialogs\button.js                            | JavaScript |          4 |          4 |          0 |          8 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\forms\dialogs\checkbox.js                          | JavaScript |          5 |          4 |          0 |          9 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\forms\dialogs\form.js                              | JavaScript |          4 |          4 |          0 |          8 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\forms\dialogs\hiddenfield.js                       | JavaScript |          3 |          4 |          0 |          7 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\forms\dialogs\radio.js                             | JavaScript |          5 |          4 |          0 |          9 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\forms\dialogs\select.js                            | JavaScript |         17 |          4 |          0 |         21 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\forms\dialogs\textarea.js                          | JavaScript |          5 |          4 |          0 |          9 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\forms\dialogs\textfield.js                         | JavaScript |          7 |          4 |          0 |         11 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\iframe\dialogs\iframe.js                           | JavaScript |          7 |          4 |          0 |         11 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\image\dialogs\image.js                             | JavaScript |         40 |          4 |          0 |         44 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\imagebase\styles\imagebase.css                     | CSS        |          8 |          0 |          2 |         10 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\link\dialogs\anchor.js                             | JavaScript |          4 |          4 |          0 |          8 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\link\dialogs\link.js                               | JavaScript |         26 |          4 |          0 |         30 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\liststyle\dialogs\liststyle.js                     | JavaScript |          6 |          4 |          0 |         10 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\pastefromgdocs\filter\default.js                   | JavaScript |          4 |          4 |          0 |          8 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\pastefromlibreoffice\filter\default.js             | JavaScript |          7 |          4 |          0 |         11 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\pastefromword\filter\default.js                    | JavaScript |         38 |          4 |          0 |         42 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\pastetools\filter\common.js                        | JavaScript |         20 |          4 |          0 |         24 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\pastetools\filter\image.js                         | JavaScript |          8 |          4 |          0 |         12 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\preview\preview.html                               | HTML       |         10 |          0 |          4 |         14 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\preview\styles\screen.css                          | CSS        |         10 |          0 |          1 |         11 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\scayt\CHANGELOG.md                                 | Markdown   |          3 |          0 |          2 |          5 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\scayt\LICENSE.md                                   | Markdown   |         18 |          0 |         11 |         29 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\scayt\README.md                                    | Markdown   |         52 |          0 |         30 |         82 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\scayt\dialogs\dialog.css                           | CSS        |         20 |          0 |          4 |         24 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\scayt\dialogs\options.js                           | JavaScript |         32 |          0 |          0 |         32 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\scayt\dialogs\toolbar.css                          | CSS        |         70 |          0 |          2 |         72 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\scayt\skins\moono-lisa\scayt.css                   | CSS        |         21 |          0 |          5 |         26 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\smiley\dialogs\smiley.js                           | JavaScript |          7 |          4 |          0 |         11 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\specialchar\dialogs\lang\af.js                     | JavaScript |          9 |          4 |          0 |         13 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\specialchar\dialogs\lang\ar.js                     | JavaScript |          9 |          4 |          0 |         13 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\specialchar\dialogs\lang\az.js                     | JavaScript |          6 |          4 |          0 |         10 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\specialchar\dialogs\lang\bg.js                     | JavaScript |          9 |          4 |          0 |         13 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\specialchar\dialogs\lang\ca.js                     | JavaScript |         10 |          4 |          0 |         14 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\specialchar\dialogs\lang\cs.js                     | JavaScript |          9 |          4 |          0 |         13 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\specialchar\dialogs\lang\cy.js                     | JavaScript |         10 |          4 |          0 |         14 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\specialchar\dialogs\lang\da.js                     | JavaScript |          7 |          4 |          0 |         11 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\specialchar\dialogs\lang\de-ch.js                  | JavaScript |          9 |          4 |          0 |         13 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\specialchar\dialogs\lang\de.js                     | JavaScript |          9 |          4 |          0 |         13 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\specialchar\dialogs\lang\el.js                     | JavaScript |          9 |          4 |          0 |         13 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\specialchar\dialogs\lang\en-au.js                  | JavaScript |          9 |          4 |          0 |         13 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\specialchar\dialogs\lang\en-ca.js                  | JavaScript |          9 |          4 |          0 |         13 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\specialchar\dialogs\lang\en-gb.js                  | JavaScript |          9 |          4 |          0 |         13 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\specialchar\dialogs\lang\en.js                     | JavaScript |          9 |          4 |          0 |         13 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\specialchar\dialogs\lang\eo.js                     | JavaScript |          8 |          4 |          0 |         12 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\specialchar\dialogs\lang\es-mx.js                  | JavaScript |          9 |          4 |          0 |         13 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\specialchar\dialogs\lang\es.js                     | JavaScript |          9 |          4 |          0 |         13 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\specialchar\dialogs\lang\et.js                     | JavaScript |          7 |          4 |          0 |         11 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\specialchar\dialogs\lang\eu.js                     | JavaScript |          9 |          4 |          0 |         13 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\specialchar\dialogs\lang\fa.js                     | JavaScript |          8 |          4 |          0 |         12 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\specialchar\dialogs\lang\fi.js                     | JavaScript |          9 |          4 |          0 |         13 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\specialchar\dialogs\lang\fr-ca.js                  | JavaScript |          6 |          4 |          0 |         10 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\specialchar\dialogs\lang\fr.js                     | JavaScript |          8 |          4 |          0 |         12 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\specialchar\dialogs\lang\gl.js                     | JavaScript |          9 |          4 |          0 |         13 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\specialchar\dialogs\lang\he.js                     | JavaScript |          8 |          4 |          0 |         12 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\specialchar\dialogs\lang\hr.js                     | JavaScript |          9 |          4 |          0 |         13 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\specialchar\dialogs\lang\hu.js                     | JavaScript |          8 |          4 |          0 |         12 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\specialchar\dialogs\lang\id.js                     | JavaScript |          9 |          4 |          0 |         13 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\specialchar\dialogs\lang\it.js                     | JavaScript |         10 |          4 |          0 |         14 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\specialchar\dialogs\lang\ja.js                     | JavaScript |          5 |          4 |          0 |          9 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\specialchar\dialogs\lang\km.js                     | JavaScript |          9 |          4 |          0 |         13 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\specialchar\dialogs\lang\ko.js                     | JavaScript |          6 |          4 |          0 |         10 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\specialchar\dialogs\lang\ku.js                     | JavaScript |          9 |          4 |          0 |         13 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\specialchar\dialogs\lang\lt.js                     | JavaScript |          9 |          4 |          0 |         13 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\specialchar\dialogs\lang\lv.js                     | JavaScript |          9 |          4 |          0 |         13 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\specialchar\dialogs\lang\nb.js                     | JavaScript |          7 |          4 |          0 |         11 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\specialchar\dialogs\lang\nl.js                     | JavaScript |          9 |          4 |          0 |         13 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\specialchar\dialogs\lang\no.js                     | JavaScript |          7 |          4 |          0 |         11 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\specialchar\dialogs\lang\oc.js                     | JavaScript |          8 |          4 |          0 |         12 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\specialchar\dialogs\lang\pl.js                     | JavaScript |          8 |          4 |          0 |         12 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\specialchar\dialogs\lang\pt-br.js                  | JavaScript |          7 |          4 |          0 |         11 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\specialchar\dialogs\lang\pt.js                     | JavaScript |          9 |          4 |          0 |         13 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\specialchar\dialogs\lang\ro.js                     | JavaScript |          9 |          4 |          0 |         13 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\specialchar\dialogs\lang\ru.js                     | JavaScript |          9 |          4 |          0 |         13 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\specialchar\dialogs\lang\si.js                     | JavaScript |          9 |          4 |          0 |         13 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\specialchar\dialogs\lang\sk.js                     | JavaScript |          9 |          4 |          0 |         13 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\specialchar\dialogs\lang\sl.js                     | JavaScript |          8 |          4 |          0 |         12 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\specialchar\dialogs\lang\sq.js                     | JavaScript |          9 |          4 |          0 |         13 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\specialchar\dialogs\lang\sr-latn.js                | JavaScript |          9 |          4 |          0 |         13 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\specialchar\dialogs\lang\sr.js                     | JavaScript |          9 |          4 |          0 |         13 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\specialchar\dialogs\lang\sv.js                     | JavaScript |          7 |          4 |          0 |         11 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\specialchar\dialogs\lang\th.js                     | JavaScript |          9 |          4 |          0 |         13 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\specialchar\dialogs\lang\tr.js                     | JavaScript |          8 |          4 |          0 |         12 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\specialchar\dialogs\lang\tt.js                     | JavaScript |          9 |          4 |          0 |         13 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\specialchar\dialogs\lang\ug.js                     | JavaScript |          9 |          4 |          0 |         13 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\specialchar\dialogs\lang\uk.js                     | JavaScript |          8 |          4 |          0 |         12 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\specialchar\dialogs\lang\vi.js                     | JavaScript |         10 |          4 |          0 |         14 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\specialchar\dialogs\lang\zh-cn.js                  | JavaScript |          5 |          4 |          0 |          9 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\specialchar\dialogs\lang\zh.js                     | JavaScript |          5 |          4 |          0 |          9 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\specialchar\dialogs\specialchar.js                 | JavaScript |         10 |          4 |          0 |         14 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\table\dialogs\table.js                             | JavaScript |         18 |          4 |          0 |         22 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\tableselection\styles\tableselection.css           | CSS        |         26 |          8 |          3 |         37 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\tabletools\dialogs\tableCell.js                    | JavaScript |         14 |          4 |          0 |         18 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\templates\dialogs\templates.css                    | CSS        |         69 |          6 |         10 |         85 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\templates\dialogs\templates.js                     | JavaScript |          7 |          4 |          0 |         11 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\templates\templatedefinition.js                    | JavaScript |          0 |          4 |          1 |          5 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\templates\templates\default.js                     | JavaScript |          3 |          4 |          0 |          7 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\samples\css\samples.css                                    | CSS        |      1,629 |          7 |          2 |      1,638 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\samples\img\logo.svg                                       | XML        |         12 |          1 |          1 |         14 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\samples\index.html                                         | HTML       |        115 |          4 |         12 |        131 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\samples\js\sample.js                                       | JavaScript |         29 |         13 |         12 |         54 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\samples\js\sf.js                                           | JavaScript |         13 |          4 |          0 |         17 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\samples\old\ajax.html                                      | HTML       |         72 |          6 |          8 |         86 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\samples\old\api.html                                       | HTML       |        180 |          5 |         26 |        211 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\samples\old\appendto.html                                  | HTML       |         52 |          4 |          4 |         60 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\samples\old\assets\outputxhtml\outputxhtml.css             | CSS        |        137 |         30 |         38 |        205 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\samples\old\assets\posteddata.php                          | PHP        |         54 |          4 |          3 |         61 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\samples\old\assets\uilanguages\languages.js                | JavaScript |          3 |          4 |          0 |          7 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\samples\old\datafiltering.html                             | HTML       |        471 |          4 |         34 |        509 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\samples\old\dialog\assets\my_dialog.js                     | JavaScript |         42 |          4 |          3 |         49 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\samples\old\dialog\dialog.html                             | HTML       |        165 |          4 |         22 |        191 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\samples\old\divreplace.html                                | HTML       |        126 |          4 |         15 |        145 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\samples\old\easyimage\easyimage.html                       | HTML       |         93 |          4 |          7 |        104 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\samples\old\enterkey\enterkey.html                         | HTML       |         97 |          4 |          6 |        107 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\samples\old\htmlwriter\outputhtml.html                     | HTML       |        198 |          4 |         23 |        225 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\samples\old\index.html                                     | HTML       |         99 |          4 |         27 |        130 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\samples\old\inlineall.html                                 | HTML       |        281 |          4 |         30 |        315 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\samples\old\inlinebycode.html                              | HTML       |        102 |          4 |         19 |        125 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\samples\old\inlinetextarea.html                            | HTML       |        100 |          4 |         10 |        114 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\samples\old\jquery.html                                    | HTML       |         84 |          4 |         16 |        104 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\samples\old\magicline\magicline.html                       | HTML       |        185 |          4 |         21 |        210 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\samples\old\readonly.html                                  | HTML       |         66 |          4 |          7 |         77 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\samples\old\replacebyclass.html                            | HTML       |         56 |          4 |          1 |         61 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\samples\old\replacebycode.html                             | HTML       |         51 |          4 |          5 |         60 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\samples\old\sample.css                                     | CSS        |        287 |         16 |         55 |        358 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\samples\old\sample.js                                      | JavaScript |         34 |          8 |          9 |         51 |
| c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\samples\old\sample_posteddata.php                          | PHP        |          2 |         14 |          1 |         17 |
